date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:01:57	14742/14742	---M--	200	added ('OK')	image/png	etag:%226981941a-3996-5a8f31eb%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/06.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/06.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:01:58	3916/3916	---M--	200	added ('OK')	image/png	etag:%226981941c-f4c-5a8f31eb%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/07.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/07.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:01:58	33309/33309	---M--	200	added ('OK')	image/png	etag:%2269819412-821d-5a8f31ea%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/02.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/02.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:02:02	63500/63500	---M--	200	added ('OK')	image/png	etag:%2269819416-f80c-5a8f31ea%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/04.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/04.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:02:02	27690/27690	---M--	200	added ('OK')	image/png	etag:%226981941e-6c2a-5a8f31eb%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/09.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/09.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:02:07	32971/32971	---M--	200	added ('OK')	image/png	etag:%2269819422-80cb-5a8f31eb%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/12.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/12.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:02:12	542862/542862	---M--	200	added ('OK')	image/png	etag:%22698193b8-8488e-5acac913%22	http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/22.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/22.png	(from http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/)
14:02:29	167291/167291	---M--	200	added ('OK')	image/jpeg	etag:%2269819424-28d7b-5a8f31eb%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/13.jpg	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/13.jpg	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:02:32	152507/152507	---M--	200	added ('OK')	image/jpeg	etag:%2269819426-253bb-5a8f31ec%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/14.jpg	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/14.jpg	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:02:43	191399/191399	---M--	200	added ('OK')	image/jpeg	etag:%2269819428-2eba7-5a8f31ec%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/15.jpg	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/15.jpg	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:03:10	166937/166937	---M--	200	added ('OK')	image/jpeg	etag:%226981942e-28c19-5a8f31ec%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/18.jpg	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/18.jpg	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:03:13	468950/468950	---M--	200	added ('OK')	image/png	etag:%2269819420-727d6-5a8f31eb%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/11.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/11.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:03:13	255390/255390	---M--	200	added ('OK')	image/jpeg	etag:%226981942c-3e59e-5a8f31ec%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/17.jpg	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/17.jpg	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:03:27	80975/80975	---M--	200	added ('OK')	image/jpeg	etag:%2269819434-13c4f-5a8f31ed%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/21.jpg	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/21.jpg	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:03:29	11483/11483	---M--	200	added ('OK')	image/png	etag:%2269819436-2cdb-5a8f31ed%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/22.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/22.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:03:31	131445/131445	---M--	200	added ('OK')	image/jpeg	etag:%2269819430-20175-5a8f31ed%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/19.jpg	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/19.jpg	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:03:31	13279/13279	---M--	200	added ('OK')	image/png	etag:%2269819438-33df-5a8f31ed%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/23.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/23.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:03:41	449031/449031	---M--	200	added ('OK')	image/jpeg	etag:%226981942a-6da07-5a8f31ec%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/16.jpg	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/16.jpg	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:03:43	186098/186098	---M--	200	added ('OK')	image/jpeg	etag:%2269819432-2d6f2-5a8f31ed%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/20.jpg	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/20.jpg	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:04:04	132354/132354	---M--	200	added ('OK')	image/png	etag:%2269819440-20502-5a8f31ee%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/27.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/27.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:04:18	292921/292921	---M--	200	added ('OK')	image/png	etag:%226981943a-47839-5a8f31ed%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/24.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/24.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:04:22	313882/313882	---M--	200	added ('OK')	image/png	etag:%226981943c-4ca1a-5a8f31ee%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/25.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/25.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:04:24	265154/265154	---M--	200	added ('OK')	image/png	etag:%226981943e-40bc2-5a8f31ee%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/26.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/26.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:04:25	12816/12816	---M--	200	added ('OK')	image/png	etag:%2269819448-3210-5aa596f7%22	http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/01.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/01.png	(from http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/)
14:04:27	138230/138230	---M--	200	added ('OK')	image/png	etag:%2269819446-21bf6-5a8f31ef%22	http://web.mit.edu/6.813/www/sp18/classes/12-user-testing/figures/online-calculator.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/12-user-testing/figures/online-calculator.png	(from http://web.mit.edu/6.813/www/sp18/classes/12-user-testing/)
14:04:29	11720/11720	---M--	200	added ('OK')	image/png	etag:%226981944e-2dc8-5aa596f7%22	http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/03.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/03.png	(from http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/)
14:04:32	15857/15857	---M--	200	added ('OK')	image/png	etag:%2269819450-3df1-5aa596f7%22	http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/04.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/04.png	(from http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/)
14:04:33	94317/94317	---M--	200	added ('OK')	image/png	etag:%2269819442-1706d-5a8f31ef%22	http://web.mit.edu/6.813/www/sp18/classes/12-user-testing/figures/google-calculator.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/12-user-testing/figures/google-calculator.png	(from http://web.mit.edu/6.813/www/sp18/classes/12-user-testing/)
14:04:36	15827/15827	---M--	200	added ('OK')	image/png	etag:%2269819454-3dd3-5aa596f7%22	http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/06.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/06.png	(from http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/)
14:04:38	91927/91927	---M--	200	added ('OK')	image/png	etag:%226981944c-16717-5aa596f7%22	http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/02.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/02.png	(from http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/)
14:04:39	16555/16555	---M--	200	added ('OK')	image/png	etag:%2269819456-40ab-5aa596f7%22	http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/07.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/07.png	(from http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/)
14:04:42	16683/16683	---M--	200	added ('OK')	image/png	etag:%2269819458-412b-5aa596f7%22	http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/08.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/08.png	(from http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/)
14:04:45	14739/14739	---M--	200	added ('OK')	image/png	etag:%226981945a-3993-5aa596f7%22	http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/09.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/13-graphic-design/figures/09.png	(from http://web.mit.edu/6.813/www/sp18/classes/13-graphic-design/)
